Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,78,2,Some Random Commen with Id 0
1,0,4,92,3,Some Random Commen with Id 1
2,0,4,153,8,Some Random Commen with Id 2
3,0,4,13,4,Some Random Commen with Id 3
4,0,4,192,0,Some Random Commen with Id 4
5,0,4,27,9,Some Random Commen with Id 5
6,0,4,162,0,Some Random Commen with Id 6
7,1,7,82,5,Some Random Commen with Id 7
8,1,7,189,7,Some Random Commen with Id 8
9,1,7,22,1,Some Random Commen with Id 9
10,1,7,131,0,Some Random Commen with Id 10
11,1,7,77,4,Some Random Commen with Id 11
12,1,7,63,6,Some Random Commen with Id 12
13,1,7,62,7,Some Random Commen with Id 13
14,1,7,118,3,Some Random Commen with Id 14
15,1,7,155,6,Some Random Commen with Id 15
16,2,6,108,2,Some Random Commen with Id 16
17,2,6,128,3,Some Random Commen with Id 17
18,2,6,192,0,Some Random Commen with Id 18
19,3,9,6,1,Some Random Commen with Id 19
20,4,6,98,2,Some Random Commen with Id 20
21,5,7,68,0,Some Random Commen with Id 21
22,5,7,1,7,Some Random Commen with Id 22
23,5,7,98,2,Some Random Commen with Id 23
24,5,7,169,0,Some Random Commen with Id 24
25,5,7,53,3,Some Random Commen with Id 25
26,5,7,181,3,Some Random Commen with Id 26
27,5,7,65,9,Some Random Commen with Id 27
28,6,8,21,1,Some Random Commen with Id 28
29,6,8,186,4,Some Random Commen with Id 29
30,6,8,139,4,Some Random Commen with Id 30
31,6,8,167,4,Some Random Commen with Id 31
32,6,8,170,2,Some Random Commen with Id 32
33,6,8,115,7,Some Random Commen with Id 33
34,6,8,54,6,Some Random Commen with Id 34
35,7,2,17,9,Some Random Commen with Id 35
36,7,2,47,5,Some Random Commen with Id 36
37,8,3,163,9,Some Random Commen with Id 37
38,8,3,101,6,Some Random Commen with Id 38
39,8,3,101,9,Some Random Commen with Id 39
40,8,3,44,4,Some Random Commen with Id 40
41,8,3,43,5,Some Random Commen with Id 41
42,8,3,176,9,Some Random Commen with Id 42
43,8,3,174,5,Some Random Commen with Id 43
44,8,3,84,3,Some Random Commen with Id 44
45,9,2,184,3,Some Random Commen with Id 45
46,9,2,70,6,Some Random Commen with Id 46
47,9,2,2,7,Some Random Commen with Id 47
48,9,2,10,1,Some Random Commen with Id 48
49,10,7,51,1,Some Random Commen with Id 49
50,10,7,61,9,Some Random Commen with Id 50
51,10,7,116,7,Some Random Commen with Id 51
52,10,7,50,6,Some Random Commen with Id 52
53,10,7,108,4,Some Random Commen with Id 53
54,10,7,160,1,Some Random Commen with Id 54
55,10,7,178,3,Some Random Commen with Id 55
56,12,8,55,1,Some Random Commen with Id 56
57,12,8,120,1,Some Random Commen with Id 57
58,12,8,69,1,Some Random Commen with Id 58
59,13,1,16,5,Some Random Commen with Id 59
60,14,4,124,6,Some Random Commen with Id 60
61,14,4,112,7,Some Random Commen with Id 61
62,14,4,179,2,Some Random Commen with Id 62
63,14,4,190,4,Some Random Commen with Id 63
64,14,4,48,6,Some Random Commen with Id 64
65,15,6,138,1,Some Random Commen with Id 65
66,15,6,20,4,Some Random Commen with Id 66
67,15,6,172,3,Some Random Commen with Id 67
68,16,1,177,0,Some Random Commen with Id 68
69,17,0,13,1,Some Random Commen with Id 69
70,17,0,48,8,Some Random Commen with Id 70
71,17,0,198,4,Some Random Commen with Id 71
72,17,0,110,2,Some Random Commen with Id 72
73,17,0,41,6,Some Random Commen with Id 73
74,19,7,181,2,Some Random Commen with Id 74
75,20,1,83,4,Some Random Commen with Id 75
76,20,1,197,5,Some Random Commen with Id 76
77,20,1,101,8,Some Random Commen with Id 77
78,20,1,68,4,Some Random Commen with Id 78
79,20,1,126,3,Some Random Commen with Id 79
80,21,9,56,4,Some Random Commen with Id 80
81,21,9,51,8,Some Random Commen with Id 81
82,21,9,112,4,Some Random Commen with Id 82
83,21,9,127,4,Some Random Commen with Id 83
84,21,9,51,5,Some Random Commen with Id 84
85,21,9,174,9,Some Random Commen with Id 85
86,21,9,60,5,Some Random Commen with Id 86
87,21,9,164,4,Some Random Commen with Id 87
88,21,9,118,6,Some Random Commen with Id 88
89,22,0,171,5,Some Random Commen with Id 89
90,22,0,173,5,Some Random Commen with Id 90
91,22,0,31,1,Some Random Commen with Id 91
92,22,0,47,5,Some Random Commen with Id 92
93,22,0,63,4,Some Random Commen with Id 93
94,22,0,135,4,Some Random Commen with Id 94
95,22,0,67,8,Some Random Commen with Id 95
96,22,0,196,4,Some Random Commen with Id 96
97,22,0,155,8,Some Random Commen with Id 97
98,23,5,141,0,Some Random Commen with Id 98
99,23,5,79,1,Some Random Commen with Id 99
100,23,5,60,5,Some Random Commen with Id 100
101,23,5,167,1,Some Random Commen with Id 101
102,23,5,172,4,Some Random Commen with Id 102
103,23,5,86,6,Some Random Commen with Id 103
104,23,5,82,3,Some Random Commen with Id 104
105,23,5,103,4,Some Random Commen with Id 105
106,23,5,169,1,Some Random Commen with Id 106
107,24,9,151,2,Some Random Commen with Id 107
108,24,9,91,5,Some Random Commen with Id 108
109,24,9,14,0,Some Random Commen with Id 109
110,24,9,124,7,Some Random Commen with Id 110
111,24,9,110,2,Some Random Commen with Id 111
112,25,1,119,3,Some Random Commen with Id 112
113,26,3,109,5,Some Random Commen with Id 113
114,26,3,78,3,Some Random Commen with Id 114
115,26,3,132,8,Some Random Commen with Id 115
116,26,3,119,2,Some Random Commen with Id 116
117,26,3,3,4,Some Random Commen with Id 117
118,26,3,189,1,Some Random Commen with Id 118
119,26,3,61,0,Some Random Commen with Id 119
120,26,3,112,4,Some Random Commen with Id 120
121,26,3,18,6,Some Random Commen with Id 121
122,27,8,100,2,Some Random Commen with Id 122
123,27,8,183,5,Some Random Commen with Id 123
124,28,1,134,0,Some Random Commen with Id 124
125,28,1,190,2,Some Random Commen with Id 125
126,28,1,51,1,Some Random Commen with Id 126
127,28,1,114,8,Some Random Commen with Id 127
128,28,1,37,6,Some Random Commen with Id 128
129,28,1,178,0,Some Random Commen with Id 129
130,28,1,21,3,Some Random Commen with Id 130
131,28,1,145,3,Some Random Commen with Id 131
132,29,4,199,0,Some Random Commen with Id 132
133,29,4,24,6,Some Random Commen with Id 133
134,29,4,115,6,Some Random Commen with Id 134
135,29,4,99,3,Some Random Commen with Id 135
136,29,4,122,0,Some Random Commen with Id 136
137,29,4,185,8,Some Random Commen with Id 137
138,29,4,4,1,Some Random Commen with Id 138
139,29,4,28,4,Some Random Commen with Id 139
140,32,1,169,0,Some Random Commen with Id 140
141,32,1,193,2,Some Random Commen with Id 141
142,32,1,147,4,Some Random Commen with Id 142
143,32,1,170,5,Some Random Commen with Id 143
144,33,5,188,9,Some Random Commen with Id 144
145,33,5,65,8,Some Random Commen with Id 145
146,33,5,0,8,Some Random Commen with Id 146
147,33,5,191,8,Some Random Commen with Id 147
148,34,7,173,1,Some Random Commen with Id 148
149,35,4,58,7,Some Random Commen with Id 149
150,35,4,97,3,Some Random Commen with Id 150
151,35,4,79,0,Some Random Commen with Id 151
152,35,4,117,0,Some Random Commen with Id 152
153,35,4,141,2,Some Random Commen with Id 153
154,35,4,101,5,Some Random Commen with Id 154
155,35,4,167,5,Some Random Commen with Id 155
156,35,4,169,6,Some Random Commen with Id 156
157,35,4,2,0,Some Random Commen with Id 157
158,36,4,104,8,Some Random Commen with Id 158
159,36,4,116,7,Some Random Commen with Id 159
160,36,4,156,1,Some Random Commen with Id 160
161,36,4,164,1,Some Random Commen with Id 161
162,37,2,59,7,Some Random Commen with Id 162
163,37,2,107,0,Some Random Commen with Id 163
164,37,2,117,6,Some Random Commen with Id 164
165,37,2,134,7,Some Random Commen with Id 165
166,37,2,162,1,Some Random Commen with Id 166
167,37,2,133,5,Some Random Commen with Id 167
168,37,2,99,0,Some Random Commen with Id 168
169,38,5,186,3,Some Random Commen with Id 169
170,38,5,62,7,Some Random Commen with Id 170
171,38,5,94,9,Some Random Commen with Id 171
172,38,5,17,8,Some Random Commen with Id 172
173,38,5,11,7,Some Random Commen with Id 173
174,38,5,72,4,Some Random Commen with Id 174
175,38,5,152,2,Some Random Commen with Id 175
176,38,5,70,6,Some Random Commen with Id 176
